name,CASCADE,CONFIGURATION,LOOP_DELAY,WIDTH,ABREG,MREG,CREG,DSP_REG_LEVEL,s,PE_DELAY,PE_NB
128CA0L0AB0M0C0E,0,EXPAND,0,128,0,0,0,1,8,5,8
128CA0L0AB0M1C0E,0,EXPAND,0,128,0,1,0,2,8,6,8
128CA0L0AB1M0C0E,0,EXPAND,0,128,1,0,0,2,8,6,8
128CA0L0AB1M1C0E,0,EXPAND,0,128,1,1,0,3,8,8,8
128CA0L0AB0M0C1E,0,EXPAND,0,128,0,0,1,1,8,6,8
128CA0L0AB0M1C1E,0,EXPAND,0,128,0,1,1,2,8,7,8
128CA0L0AB1M0C1E,0,EXPAND,0,128,1,0,1,2,8,7,8
128CA0L0AB1M1C1E,0,EXPAND,0,128,1,1,1,3,8,9,8
128CA1L0AB0M0C1E,1,EXPAND,0,128,0,0,1,1,8,5,8
128CA1L0AB0M1C1E,1,EXPAND,0,128,0,1,1,2,8,6,8
128CA1L0AB1M0C1E,1,EXPAND,0,128,1,0,1,2,8,6,8
128CA1L0AB1M1C1E,1,EXPAND,0,128,1,1,1,3,8,8,8
128CA0L0AB0M0C0F,0,FOLD,0,128,0,0,0,1,8,5,4
128CA0L0AB0M1C0F,0,FOLD,0,128,0,1,0,2,8,6,4
128CA0L0AB1M0C0F,0,FOLD,0,128,1,0,0,2,8,6,4
128CA0L0AB1M1C0F,0,FOLD,0,128,1,1,0,3,8,8,3
128CA0L0AB0M0C1F,0,FOLD,0,128,0,0,1,1,8,6,4
128CA0L0AB0M1C1F,0,FOLD,0,128,0,1,1,2,8,7,3
128CA0L0AB1M0C1F,0,FOLD,0,128,1,0,1,2,8,7,3
128CA0L0AB1M1C1F,0,FOLD,0,128,1,1,1,3,8,9,3
128CA1L0AB0M0C1F,1,FOLD,0,128,0,0,1,1,8,5,4
128CA1L0AB0M1C1F,1,FOLD,0,128,0,1,1,2,8,6,4
128CA1L0AB1M0C1F,1,FOLD,0,128,1,0,1,2,8,6,4
128CA1L0AB1M1C1F,1,FOLD,0,128,1,1,1,3,8,8,3
256CA0L0AB0M0C0E,0,EXPAND,0,256,0,0,0,1,16,5,16
256CA0L0AB0M1C0E,0,EXPAND,0,256,0,1,0,2,16,6,16
256CA0L0AB1M0C0E,0,EXPAND,0,256,1,0,0,2,16,6,16
256CA0L0AB1M1C0E,0,EXPAND,0,256,1,1,0,3,16,8,16
256CA0L0AB0M0C1E,0,EXPAND,0,256,0,0,1,1,16,6,16
256CA0L0AB0M1C1E,0,EXPAND,0,256,0,1,1,2,16,7,16
256CA0L0AB1M0C1E,0,EXPAND,0,256,1,0,1,2,16,7,16
256CA0L0AB1M1C1E,0,EXPAND,0,256,1,1,1,3,16,9,16
256CA1L0AB0M0C1E,1,EXPAND,0,256,0,0,1,1,16,5,16
