,WIDTH,CREG,CASC,DSP_REG_LEVEL,CONFIGURATION,FREQ,DSP,LUT,FF,FIRST_MM_CYCLE,NEXT_MM_CYCLE,MM_TIME,THROUGHPUT
0,128,0,0,1,EXPANDED,433.3,8,597,1205,53,18,0.1223,24.07
1,128,0,0,1,FOLDED,450.0,4,346,660,53,53,0.1178,8.491
2,128,0,0,2,EXPANDED,600.0,8,604,1433,61,19,0.1017,31.58
3,128,0,0,2,FOLDED,600.0,4,362,757,61,61,0.1017,9.836
4,128,0,0,3,EXPANDED,600.0,8,757,1451,76,20,0.1267,30.0
5,128,0,0,3,FOLDED,600.0,3,343,614,76,76,0.1267,7.895
6,128,1,0,1,EXPANDED,433.3,8,597,905,60,18,0.1385,24.07
7,128,1,0,1,FOLDED,450.0,4,346,483,60,60,0.1333,7.5
8,128,1,0,2,EXPANDED,625.0,8,867,1601,68,19,0.1088,32.89
9,128,1,0,2,FOLDED,625.0,3,370,688,68,68,0.1088,9.191
10,128,1,0,3,EXPANDED,738.0,8,746,1633,83,20,0.1125,36.9
11,128,1,0,3,FOLDED,738.0,3,342,646,83,83,0.1125,8.892
12,128,1,1,1,EXPANDED,433.3,8,677,1031,53,18,0.1223,24.07
13,128,1,1,1,FOLDED,412.5,4,371,572,55,55,0.1333,7.5
14,128,1,1,2,EXPANDED,625.0,8,750,1523,61,19,0.0976,32.89
15,128,1,1,2,FOLDED,625.0,4,448,863,63,63,0.1008,9.921
16,128,1,1,3,EXPANDED,738.0,8,818,1916,76,20,0.103,36.9
17,128,1,1,3,FOLDED,738.0,3,356,787,79,79,0.107,9.342
18,256,0,0,1,EXPANDED,425.0,16,1221,2337,109,34,0.2565,12.5
19,256,0,0,1,FOLDED,450.0,7,581,1100,109,109,0.2422,4.128
20,256,0,0,2,EXPANDED,562.5,16,1229,2833,125,35,0.2222,16.07
21,256,0,0,2,FOLDED,562.5,6,509,1104,125,125,0.2222,4.5
22,256,0,0,3,EXPANDED,575.0,16,1533,3080,156,36,0.2713,15.97
23,256,0,0,3,FOLDED,562.5,5,533,927,156,156,0.2773,3.606
24,256,1,0,1,EXPANDED,425.0,16,1221,1875,124,34,0.2918,12.5
25,256,1,0,1,FOLDED,433.3,6,503,744,124,124,0.2862,3.495
26,256,1,0,2,EXPANDED,625.0,16,1759,3413,140,35,0.224,17.86
27,256,1,0,2,FOLDED,625.0,6,705,1309,140,140,0.224,4.464
28,256,1,0,3,EXPANDED,738.0,16,1523,3288,171,36,0.2317,20.5
29,256,1,0,3,FOLDED,738.0,5,538,1139,171,171,0.2317,4.316
30,256,1,1,1,EXPANDED,412.5,16,1364,1870,109,34,0.2642,12.13
31,256,1,1,1,FOLDED,412.5,7,630,870,112,112,0.2715,3.683
32,256,1,1,2,EXPANDED,625.0,16,1510,2915,125,35,0.2,17.86
33,256,1,1,2,FOLDED,625.0,6,638,1261,128,128,0.2048,4.883
34,256,1,1,3,EXPANDED,738.0,16,1643,3815,156,36,0.2114,20.5
35,256,1,1,3,FOLDED,738.0,5,569,1315,160,160,0.2168,4.613
36,512,0,0,1,EXPANDED,433.3,31,2391,4534,214,64,0.4938,6.771
37,512,0,0,1,FOLDED,425.0,13,1048,1974,214,214,0.5035,1.986
38,512,0,0,2,EXPANDED,562.5,31,2401,5530,245,65,0.4356,8.654
39,512,0,0,2,FOLDED,600.0,11,899,2014,245,245,0.4083,2.449
40,512,0,0,3,EXPANDED,562.5,31,2978,5877,306,66,0.544,8.523
41,512,0,0,3,FOLDED,575.0,9,928,1677,306,306,0.5322,1.879
42,512,1,0,1,EXPANDED,412.5,31,2392,3486,244,64,0.5915,6.445
43,512,1,0,1,FOLDED,433.3,11,892,1351,244,244,0.5631,1.776
44,512,1,0,2,EXPANDED,625.0,31,3438,6606,275,65,0.44,9.615
45,512,1,0,2,FOLDED,625.0,10,1152,2202,275,275,0.44,2.273
46,512,1,0,3,EXPANDED,712.5,31,2994,6185,336,66,0.4716,10.8
