name,success,CLOCK_CYCLES_1ST
128CA0L0AB0M0C0E,SUCCESS,53
128CA0L0AB0M1C0E,SUCCESS,61
128CA0L0AB1M0C0E,SUCCESS,61
128CA0L0AB1M1C0E,SUCCESS,76
128CA0L0AB0M0C1E,SUCCESS,60
128CA0L0AB0M1C1E,SUCCESS,68
128CA0L0AB1M0C1E,SUCCESS,68
128CA0L0AB1M1C1E,SUCCESS,83
128CA1L0AB0M0C1E,SUCCESS,53
128CA1L0AB0M1C1E,SUCCESS,61
128CA1L0AB1M0C1E,SUCCESS,61
128CA1L0AB1M1C1E,SUCCESS,76
128CA0L0AB0M0C0F,SUCCESS,53
128CA0L0AB0M1C0F,SUCCESS,61
128CA0L0AB1M0C0F,SUCCESS,61
128CA0L0AB1M1C0F,SUCCESS,76
128CA0L0AB0M0C1F,SUCCESS,60
128CA0L0AB0M1C1F,SUCCESS,68
128CA0L0AB1M0C1F,SUCCESS,68
128CA0L0AB1M1C1F,SUCCESS,83
128CA1L0AB0M0C1F,SUCCESS,54
128CA1L0AB0M1C1F,SUCCESS,62
128CA1L0AB1M0C1F,SUCCESS,62
128CA1L0AB1M1C1F,SUCCESS,78
256CA0L0AB0M0C0E,SUCCESS,109
256CA0L0AB0M1C0E,SUCCESS,125
256CA0L0AB1M0C0E,SUCCESS,125
256CA0L0AB1M1C0E,SUCCESS,156
256CA0L0AB0M0C1E,SUCCESS,124
256CA0L0AB0M1C1E,SUCCESS,140
256CA0L0AB1M0C1E,SUCCESS,140
256CA0L0AB1M1C1E,SUCCESS,171
256CA1L0AB0M0C1E,SUCCESS,109
256CA1L0AB0M1C1E,SUCCESS,125
256CA1L0AB1M0C1E,SUCCESS,125
256CA1L0AB1M1C1E,SUCCESS,156
256CA0L0AB0M0C0F,SUCCESS,109
256CA0L0AB0M1C0F,SUCCESS,125
256CA0L0AB1M0C0F,SUCCESS,125
145CA0L0AB0M0C0E,SUCCESS,60
145CA0L0AB0M1C0E,SUCCESS,69
145CA0L0AB1M0C0E,SUCCESS,69
145CA0L0AB1M1C0E,SUCCESS,86
145CA0L0AB0M0C1E,SUCCESS,68
145CA0L0AB0M1C1E,SUCCESS,77
145CA0L0AB1M0C1E,SUCCESS,77
145CA0L0AB1M1C1E,SUCCESS,94
145CA1L0AB0M0C1E,SUCCESS,60
145CA1L0AB0M1C1E,SUCCESS,69
145CA1L0AB1M0C1E,SUCCESS,69
145CA1L0AB1M1C1E,SUCCESS,86
145CA0L0AB0M0C0F,SUCCESS,60
145CA0L0AB0M1C0F,SUCCESS,69
145CA0L0AB1M0C0F,SUCCESS,69
145CA0L0AB1M1C0F,SUCCESS,86
145CA0L0AB0M0C1F,SUCCESS,68
145CA0L0AB0M1C1F,SUCCESS,77
145CA0L0AB1M0C1F,SUCCESS,77
145CA0L0AB1M1C1F,SUCCESS,94
145CA1L0AB0M0C1F,SUCCESS,61
145CA1L0AB0M1C1F,SUCCESS,71
145CA1L0AB1M0C1F,SUCCESS,71
145CA1L0AB1M1C1F,SUCCESS,88
162CA0L0AB0M0C0E,SUCCESS,67
162CA0L0AB0M1C0E,SUCCESS,77
162CA0L0AB1M0C0E,SUCCESS,77
162CA0L0AB1M1C0E,SUCCESS,96
162CA0L0AB0M0C1E,SUCCESS,76
162CA0L0AB0M1C1E,SUCCESS,86
162CA0L0AB1M0C1E,SUCCESS,86
162CA0L0AB1M1C1E,SUCCESS,105
162CA1L0AB0M0C1E,SUCCESS,67
162CA1L0AB0M1C1E,SUCCESS,77
162CA1L0AB1M0C1E,SUCCESS,77
162CA1L0AB1M1C1E,SUCCESS,96
162CA0L0AB0M0C0F,SUCCESS,67
162CA0L0AB0M1C0F,SUCCESS,77
162CA0L0AB1M0C0F,SUCCESS,77
162CA0L0AB1M1C0F,SUCCESS,96
162CA0L0AB0M0C1F,SUCCESS,76
162CA0L0AB0M1C1F,SUCCESS,86
162CA0L0AB1M0C1F,SUCCESS,86
162CA0L0AB1M1C1F,SUCCESS,105
162CA1L0AB0M0C1F,SUCCESS,68
162CA1L0AB0M1C1F,SUCCESS,79
162CA1L0AB1M0C1F,SUCCESS,79
162CA1L0AB1M1C1F,SUCCESS,98
179CA0L0AB0M0C0E,SUCCESS,74
179CA0L0AB0M1C0E,SUCCESS,85
179CA0L0AB1M0C0E,SUCCESS,85
179CA0L0AB1M1C0E,SUCCESS,106
179CA0L0AB0M0C1E,SUCCESS,84
179CA0L0AB0M1C1E,SUCCESS,95
179CA0L0AB1M0C1E,SUCCESS,95
179CA0L0AB1M1C1E,SUCCESS,116
179CA1L0AB0M0C1E,SUCCESS,74
179CA1L0AB0M1C1E,SUCCESS,85
179CA1L0AB1M0C1E,SUCCESS,85
179CA1L0AB1M1C1E,SUCCESS,106
179CA0L0AB0M0C0F,SUCCESS,74
179CA0L0AB0M1C0F,SUCCESS,85
179CA0L0AB1M0C0F,SUCCESS,85
179CA0L0AB1M1C0F,SUCCESS,106
179CA0L0AB0M0C1F,SUCCESS,84
179CA0L0AB0M1C1F,SUCCESS,95
179CA0L0AB1M0C1F,SUCCESS,95
179CA0L0AB1M1C1F,SUCCESS,116
179CA1L0AB0M0C1F,SUCCESS,76
179CA1L0AB0M1C1F,SUCCESS,87
179CA1L0AB1M0C1F,SUCCESS,87
179CA1L0AB1M1C1F,SUCCESS,108
196CA0L0AB0M0C0E,SUCCESS,81
196CA0L0AB0M1C0E,SUCCESS,93
196CA0L0AB1M0C0E,SUCCESS,93
196CA0L0AB1M1C0E,SUCCESS,116
196CA0L0AB0M0C1E,SUCCESS,92
196CA0L0AB0M1C1E,SUCCESS,104
196CA0L0AB1M0C1E,SUCCESS,104
196CA0L0AB1M1C1E,SUCCESS,127
196CA1L0AB0M0C1E,SUCCESS,81
196CA1L0AB0M1C1E,SUCCESS,93
196CA1L0AB1M0C1E,SUCCESS,93
196CA1L0AB1M1C1E,SUCCESS,116
196CA0L0AB0M0C0F,SUCCESS,81
196CA0L0AB0M1C0F,SUCCESS,93
196CA0L0AB1M0C0F,SUCCESS,93
196CA0L0AB1M1C0F,SUCCESS,116
196CA0L0AB0M0C1F,SUCCESS,92
196CA0L0AB0M1C1F,SUCCESS,104
196CA0L0AB1M0C1F,SUCCESS,104
196CA0L0AB1M1C1F,SUCCESS,127
196CA1L0AB0M0C1F,SUCCESS,82
196CA1L0AB0M1C1F,SUCCESS,95
196CA1L0AB1M0C1F,SUCCESS,95
196CA1L0AB1M1C1F,SUCCESS,118
213CA0L0AB0M0C0E,SUCCESS,88
213CA0L0AB0M1C0E,SUCCESS,101
213CA0L0AB1M0C0E,SUCCESS,101
213CA0L0AB1M1C0E,SUCCESS,126
213CA0L0AB0M0C1E,SUCCESS,100
213CA0L0AB0M1C1E,SUCCESS,113
213CA0L0AB1M0C1E,SUCCESS,113
213CA0L0AB1M1C1E,SUCCESS,138
213CA1L0AB0M0C1E,SUCCESS,88
213CA1L0AB0M1C1E,SUCCESS,101
213CA1L0AB1M0C1E,SUCCESS,101
213CA1L0AB1M1C1E,SUCCESS,126
213CA0L0AB0M0C0F,SUCCESS,88
213CA0L0AB0M1C0F,SUCCESS,101
213CA0L0AB1M0C0F,SUCCESS,101
213CA0L0AB1M1C0F,SUCCESS,126
213CA0L0AB0M0C1F,SUCCESS,100
213CA0L0AB0M1C1F,SUCCESS,113
213CA0L0AB1M0C1F,SUCCESS,113
213CA0L0AB1M1C1F,SUCCESS,138
213CA1L0AB0M0C1F,SUCCESS,90
213CA1L0AB0M1C1F,SUCCESS,103
213CA1L0AB1M0C1F,SUCCESS,103
213CA1L0AB1M1C1F,SUCCESS,129
230CA0L0AB0M0C0E,SUCCESS,95
230CA0L0AB0M1C0E,SUCCESS,109
230CA0L0AB1M0C0E,SUCCESS,109
230CA0L0AB1M1C0E,SUCCESS,136
230CA0L0AB0M0C1E,SUCCESS,108
230CA0L0AB0M1C1E,SUCCESS,122
230CA0L0AB1M0C1E,SUCCESS,122
230CA0L0AB1M1C1E,SUCCESS,149
230CA1L0AB0M0C1E,SUCCESS,95
230CA1L0AB0M1C1E,SUCCESS,109
230CA1L0AB1M0C1E,SUCCESS,109
230CA1L0AB1M1C1E,SUCCESS,136
230CA0L0AB0M0C0F,SUCCESS,95
230CA0L0AB0M1C0F,SUCCESS,109
230CA0L0AB1M0C0F,SUCCESS,109
230CA0L0AB1M1C0F,SUCCESS,136
230CA0L0AB0M0C1F,SUCCESS,108
230CA0L0AB0M1C1F,SUCCESS,122
230CA0L0AB1M0C1F,SUCCESS,122
230CA0L0AB1M1C1F,SUCCESS,149
230CA1L0AB0M0C1F,SUCCESS,96
230CA1L0AB0M1C1F,SUCCESS,111
230CA1L0AB1M0C1F,SUCCESS,111
230CA1L0AB1M1C1F,SUCCESS,138
247CA0L0AB0M0C0E,SUCCESS,102
247CA0L0AB0M1C0E,SUCCESS,117
247CA0L0AB1M0C0E,SUCCESS,117
247CA0L0AB1M1C0E,SUCCESS,146
247CA0L0AB0M0C1E,SUCCESS,116
247CA0L0AB0M1C1E,SUCCESS,131
247CA0L0AB1M0C1E,SUCCESS,131
247CA0L0AB1M1C1E,SUCCESS,160
247CA1L0AB0M0C1E,SUCCESS,102
247CA1L0AB0M1C1E,SUCCESS,117
247CA1L0AB1M0C1E,SUCCESS,117
247CA1L0AB1M1C1E,SUCCESS,146
247CA0L0AB0M0C0F,SUCCESS,102
